2026-08-11 09:20:38,Buy (A+, B+, C+),NATIONALUM,NSE,389.35
2026-08-11 09:25:08,Sell (B+),UPL,NSE,566.85
2026-08-11 09:30:05,Sell (A+, A),SUNPHARMA,NSE,1939
2026-08-11 09:30:06,Sell (B+),TORNTPHARM,NSE,4874
2026-08-11 09:30:08,Sell (B+),HDFCBANK,NSE,727.75
2026-08-11 09:30:16,Sell (B+),NIFTY_HEALTHCARE,NSE,16572.1
2026-08-11 09:30:19,Sell (B+),ITC,NSE,281
2026-08-11 09:35:02,Sell (B+),BIOCON,NSE,422.5
2026-08-11 09:35:04,Buy (B+, C+),PATANJALI,NSE,358.75
2026-08-11 09:35:05,Sell (B+),RVNL,NSE,229.75
2026-08-11 09:35:07,Sell (B+),BANKBARODA,NSE,244.7
2026-08-11 09:40:03,Buy (C),KAYNES,NSE,3850.9
2026-08-11 09:45:04,Sell (E),KAYNES,NSE,3814.9
2026-08-11 09:45:06,Sell (B+),GODFRYPHLP,NSE,2245.5
2026-08-11 09:45:10,Buy (B+),BAJAJ_AUTO,NSE,11835
2026-08-11 09:50:02,Sell (B+),IOC,NSE,139.91
2026-08-11 09:50:04,Sell (E),BHEL,NSE,405.15
2026-08-11 09:50:06,Sell (B+),PNB,NSE,112.38
2026-08-11 10:10:03,Buy (B),EXIDEIND,NSE,494.25
2026-08-11 10:20:03,Buy (B),MOTILALOFS,NSE,889
2026-08-11 10:30:19,Buy (B+),DIVISLAB,NSE,8378.5
2026-08-11 11:10:03,Sell (E),BLUESTARCO,NSE,1503.7
2026-08-11 11:10:08,Sell (E+),EXIDEIND,NSE,489.8
2026-08-11 11:10:09,Sell (E),ANGELONE,NSE,291.2
