timestamp_ist,signal,symbol,cmp,pcr,score,maxPain,mpGap
2026-07-23 12:43:27,SELL,UNIONBANK,167.67,0.72,0,172.5,-2.8
2026-07-23 12:43:28,SELL-CORE,UNIONBANK,167.67,0.72,0,172.5,-2.8
2026-07-23 12:43:29,SELL,GRASIM,3118.4,0.71,0,3140,-0.69
2026-07-23 12:43:29,SELL-CORE,GRASIM,3118.4,0.71,0,3140,-0.69
2026-07-23 12:43:30,SELL-CORE,PERSISTENT,5022.0,1.03,27,5100,-1.53
2026-07-23 12:43:31,SELL,LTF,304.85,0.73,27,320,-4.73
2026-07-23 12:43:32,SELL-CORE,LTF,304.85,0.73,27,320,-4.73
2026-07-23 12:43:33,BUY-CORE,HAL,4560.8,0.54,36,4600,-0.85
2026-07-23 12:43:33,SELL,HAL,4560.8,0.54,36,4600,-0.85
2026-07-23 12:43:34,SELL-CORE,HAL,4560.8,0.54,36,4600,-0.85
2026-07-23 12:43:34,SELL-CORE,INDUSTOWER,391.95,0.9,27,400,-2.01
2026-07-23 12:43:35,SELL,JSWSTEEL,1244.5,0.67,0,1260,-1.23
2026-07-23 12:43:36,SELL-CORE,JSWSTEEL,1244.5,0.67,0,1260,-1.23
2026-07-23 12:43:37,SELL,IDFCFIRSTB,80.12,0.81,0,81,-1.09
2026-07-23 12:43:37,SELL-CORE,IDFCFIRSTB,80.12,0.81,0,81,-1.09
2026-07-23 12:43:38,SELL,VMM,107.17,0.76,0,112.5,-4.74
2026-07-23 12:43:39,SELL-CORE,VMM,107.17,0.76,0,112.5,-4.74
2026-07-23 12:43:40,BUY-CORE,ONGC,253.15,0.34,57,255,-0.73
2026-07-23 12:43:41,BUY,MOTHERSON,144.84,1.15,100,144,0.58
2026-07-23 12:43:41,BUY-CORE,MOTHERSON,144.84,1.15,100,144,0.58
2026-07-23 12:43:42,SELL,OFSS,10594.0,0.63,22,11000,-3.69
2026-07-23 12:43:43,SELL-CORE,OFSS,10594.0,0.63,22,11000,-3.69
2026-07-23 12:43:44,SELL,DLF,648.75,0.57,22,670,-3.17
2026-07-23 12:43:44,SELL-CORE,DLF,648.75,0.57,22,670,-3.17
2026-07-23 12:43:45,SELL-CORE,AUBANK,965.7,1.23,27,1000,-3.43
2026-07-23 12:43:46,SELL,AUROPHARMA,1519.7,0.57,22,1580,-3.82
2026-07-23 12:43:47,SELL-CORE,AUROPHARMA,1519.7,0.57,22,1580,-3.82
2026-07-23 12:43:48,SELL,NESTLEIND,1453.0,0.53,0,1490,-2.48
2026-07-23 12:43:48,SELL-CORE,NESTLEIND,1453.0,0.53,0,1490,-2.48
2026-07-23 12:43:49,BUY-CORE,VOLTAS,1308.8,0.82,73,1340,-2.33
2026-07-23 12:43:50,BUY-CORE,APLAPOLLO,1840.0,0.48,57,1860,-1.08
